Stories,FinSqft,Bedrms,Baths,LotSize,SaleDate,month,SalePrice,Ald,Age,FullBase,Attic,FIREPLACE,AIR_CONDITIONING,Garage,X,Y
2,4517,5,4,10050,2012,5,640000,3,82,1,1,2,0,1,2565919.726,397056.0379
1,1420,3,1,4800,2012,4,195000,3,92,1,1,1,1,1,2564537.555,399721.6002
1.5,1305,2,1.5,3600,2012,7,210000,3,94,1,0,0,1,1,2563831.375,393238.86
1,1035,3,1,3600,2012,6,120000,3,85,1,1,0,0,1,2561405.608,398878.7551
2,4044,5,3.5,12700,2012,4,580000,3,90,1,1,1,1,1,2567969.718,401395.7484
2,3872,4,4,10800,2012,9,545000,3,96,0,1,4,1,1,2567783.042,400564.3563
2,3809,4,3,6960,2012,7,635000,3,105,1,1,2,0,1,2567488.761,394273.4919
2,3605,7,3,7500,2012,5,525000,3,100,1,1,3,1,1,2566152.874,396760.7723
2,3553,6,4,7200,2012,6,477000,3,101,1,1,2,0,1,2567683.463,398042.4096
2,3365,5,3.5,7200,2012,9,530000,3,90,1,1,2,0,1,2567168.779,401286.9553
2,3346,4,2.5,7200,2012,1,580000,3,91,1,0,1,1,1,2567474.43,401354.195
2,3185,4,2.5,4800,2012,8,295900,3,114,1,1,1,0,1,2565765.268,396323.1129
2,3137,4,2.5,7200,2012,8,475000,3,89,1,0,2,1,1,2567355.57,401106.47
2,3097,6,3.5,7200,2012,6,370000,3,96,1,1,1,0,1,2565450.943,397039.9846
2,3037,5,4,7200,2012,11,629000,3,92,1,1,1,1,1,2567477.732,400481.4264
2,2949,4,1.5,5400,2012,3,340000,3,110,1,0,1,0,1,2567178.764,399194.1903
2,2850,4,2.5,3144,2012,11,300000,3,120,1,1,3,0,0,2563952.143,392342.6851
2,2744,5,2.5,4800,2012,7,353000,3,107,1,1,1,1,0,2567195.153,397638.2885
2,2694,5,2,4080,2012,7,265000,3,102,1,1,0,0,0,2566379.834,398243.2129
2,2629,5,2.5,5490,2012,7,315000,3,103,1,1,1,1,1,2566726.344,398450.7344
2,2624,2,2.5,4880,2012,12,330000,3,100,0,0,1,1,1,2566398.809,398362.1582
2,2552,4,1.5,4880,2012,6,390000,3,123,1,1,0,0,1,2566740.76,397340.9602
2,2492,5,2.5,4800,2012,1,280000,3,114,1,1,0,1,0,2567789.74,399432.8998
2,2414,3,1.5,4800,2012,7,240000,3,102,1,1,1,0,1,2567183.639,398607.4484
2,2403,4,1.5,6100,2012,8,384000,3,106,1,1,2,0,1,2566540.357,398090.9671
2,2358,4,2,4800,2012,7,329800,3,105,1,1,2,0,1,2568011.26,396340.7602
2,2350,5,1.5,4125,2012,10,259000,3,106,1,1,1,0,1,2563718.202,400608.1356
2,2328,4,3,4880,2012,8,369000,3,107,1,1,1,1,1,2566732.706,397957.5015
2,2316,3,2.5,5183,2012,12,230000,3,106,1,0,0,0,1,2563608.812,392683.2498
2,2251,4,1.5,4880,2012,9,355000,3,108,1,1,0,1,1,2566541.407,397996.5629
2,2068,4,1.5,6000,2012,3,254500,3,103,1,0,1,1,1,2563562.498,398536.6567
2,2068,3,2,3810,2012,9,208000,3,112,1,0,0,0,0,2565431.654,396526.3226
